ID,Title,Category,Channel,Duration,Views,cluster,explanation_description_richness,content_coverage,technical_depth,richness_percentile,coverage_percentile,technical_percentile
VID-001,But what is a neural network? | Deep learning chapter 1,Machine Learning (ML),3Blue1Brown,18:40,24.2M+,7,0.5459864064572357,0.8333333333333334,0.3076923076923077,92.2,67.9,85.9
VID-002,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",Machine Learning (ML),3Blue1Brown,20:33,9.5M+,7,0.3157642630969927,0.8333333333333334,0.5384615384615384,30.8,67.9,97.6
VID-003,A Gentle Introduction to Machine Learning,Machine Learning (ML),StatQuest with Josh Starmer,12:45,1.6M+,8,0.3016747368568041,0.6666666666666666,0.0769230769230769,24.4,22.1,35.699999999999996
VID-004,Machine Learning Fundamentals: Bias and Variance,Machine Learning (ML),StatQuest with Josh Starmer,6:36,1.7M+,8,0.3224190047030659,0.6666666666666666,0.0,33.6,22.1,10.7
VID-005,Machine Learning Fundamentals: Cross Validation,Machine Learning (ML),StatQuest with Josh Starmer,6:05,1.5M+,8,0.2191424539978464,0.6666666666666666,0.1538461538461538,3.5999999999999996,22.1,59.9
VID-006,Machine Learning Fundamentals: The Confusion Matrix,Machine Learning (ML),StatQuest with Josh Starmer,7:13,979K+,8,0.2738271278837225,0.8333333333333334,0.0769230769230769,15.6,67.9,35.699999999999996
VID-007,"Decision and Classification Trees, Clearly Explained!!!",Machine Learning (ML),StatQuest with Josh Starmer,18:08,1.3M+,8,0.3063135400257356,0.8333333333333334,0.2307692307692307,27.200000000000003,67.9,75.5
VID-008,StatQuest: Logistic Regression,Machine Learning (ML),StatQuest with Josh Starmer,8:48,2.8M+,8,0.1962885461769318,0.8333333333333334,0.1538461538461538,1.2,67.9,59.9
VID-009,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",Machine Learning (ML),StatQuest with Josh Starmer,9:54,1.5M+,8,0.275001905735784,0.6666666666666666,0.0,16.400000000000002,22.1,10.7
VID-010,StatQuest: K-means clustering,Machine Learning (ML),StatQuest with Josh Starmer,8:30,2.2M+,4,0.2980056260410725,0.6666666666666666,0.0769230769230769,22.400000000000002,22.1,35.699999999999996
VID-011,Machine Learning Explained in 100 Seconds,Machine Learning (ML),Fireship,2:35,1.1M+,8,0.2589543614051076,0.8333333333333334,0.2307692307692307,11.600000000000001,67.9,75.5
VID-012,"AI, Machine Learning, Deep Learning and Generative AI Explained",Machine Learning (ML),IBM Technology,10:01,3.5M+,3,0.2699056930718473,0.6666666666666666,0.0,14.6,22.1,10.7
VID-013,Supervised vs. Unsupervised Learning,Machine Learning (ML),IBM Technology,7:08,383K+,8,0.2945950772154923,0.6666666666666666,0.0,21.4,22.1,10.7
VID-014,Neural Networks Explained in 5 minutes,Machine Learning (ML),IBM Technology,4:32,746K+,7,0.2264485323144685,0.6666666666666666,0.1538461538461538,5.4,22.1,59.9
VID-015,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning,Machine Learning (ML),Simplilearn,7:52,5.5M+,1,0.334251719616553,0.6666666666666666,0.0769230769230769,37.2,22.1,35.699999999999996
VID-016,Machine Learning for Everybody – Full Course,Machine Learning (ML),freeCodeCamp.org,3:53:53,10.5M+,8,0.3092903455806711,1.0,0.3846153846153846,28.4,95.89999999999999,92.5
VID-017,Essential Machine Learning and AI Concepts Animated,Machine Learning (ML),freeCodeCamp.org,27:52:00,342K+,7,0.2810947166327316,0.8333333333333334,0.0,18.6,67.9,10.7
VID-018,Support Vector Machine (SVM) in 2 minutes,Machine Learning (ML),Visually Explained,2:19,952K+,6,0.3072136358237732,0.8333333333333334,0.0769230769230769,27.400000000000002,67.9,35.699999999999996
VID-019,Decision Tree Classification Clearly Explained!,Machine Learning (ML),Normalized Nerd,10:33,946K+,8,0.3110051868252498,0.8333333333333334,0.0769230769230769,28.999999999999996,67.9,35.699999999999996
VID-020,Neural Networks and Deep Learning: Crash Course AI #3,Machine Learning (ML),CrashCourse,12:23,411K+,7,0.2431893629115736,0.6666666666666666,0.1538461538461538,8.200000000000001,22.1,59.9
VID-021,"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python)",Machine Learning (ML),codebasics,11:01,655K+,7,0.2474939936892866,1.0,0.4615384615384615,9.2,95.89999999999999,95.6
VID-022,What are Convolutional Neural Networks (CNNs)?,Machine Learning (ML),IBM Technology,6:21,875K+,6,0.3025470878888335,0.6666666666666666,0.0769230769230769,24.8,22.1,35.699999999999996
VID-023,Convolutional Neural Networks (CNNs) explained,Machine Learning (ML),deeplizard,8:37,1.5M+,6,0.2602176911112477,0.8333333333333334,0.1538461538461538,12.2,67.9,59.9
