ID,Category,Channel,Title,URL,Duration,Views,Explanation_Type,Visuals,Examples,Analogies,Real_Life,Quality,Creator_Takeaways,duration_seconds,views_numeric,combined_text,has_analogy,has_example,has_visual,has_application,has_math,has_code,text_length,word_count,log_views,cluster
VID-001,Machine Learning (ML),3Blue1Brown,But what is a neural network? | Deep learning chapter 1,http://www.youtube.com/watch?v=aircAruvnKk,18:40,24.2M+,Mathematical & Geometric Intuition,Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations.,MNIST handwritten digit recognition focusing on handwritten '3's vs other digits.,Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits).,Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms.,"Pristine studio acoustics; calm, deliberate cadence (~130 wpm); subtle musical scoring; 1080p razor-sharp vector graphics.",Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.,1120,24200000.0,But what is a neural network? | Deep learning chapter 1 Mathematical & Geometric Intuition Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations. MNIST handwritten digit recognition focusing on handwritten '3's vs other digits. Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits). Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms. Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.,1,1,1,1,1,0,671,88,17.001863232449228,4
VID-002,Machine Learning (ML),3Blue1Brown,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",http://www.youtube.com/watch?v=IHZwWFHWa-w,20:33,9.5M+,Mathematical Optimization & Geometry,3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors.,"Minimizing cost over 13,000 weights and biases on MNIST digits.",A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet.,"Autonomous vehicle path optimization, facial recognition feature convergence.","Contemplative, clear voiceover; studio sound isolation; fluid 60fps vector graphics.",Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).,1233,9500000.0,"Gradient descent, how neural networks learn | Deep Learning Chapter 2 Mathematical Optimization & Geometry 3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors. Minimizing cost over 13,000 weights and biases on MNIST digits. A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet. Autonomous vehicle path optimization, facial recognition feature convergence. Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).",1,1,1,1,1,0,559,73,16.066802461833923,4
VID-003,Machine Learning (ML),StatQuest with Josh Starmer,A Gentle Introduction to Machine Learning,http://www.youtube.com/watch?v=Gv9_4yMHFhI,12:45,1.6M+,Pedagogical First-Principles Breakdown,Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees.,Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt).,Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff).,"Athletic performance testing, clinical drug trials.","Warm, energetic delivery; trademark acoustic jingles; celebratory catchphrases ('BAM!').",Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.,765,1600000.0,"A Gentle Introduction to Machine Learning Pedagogical First-Principles Breakdown Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees. Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt). Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff). Athletic performance testing, clinical drug trials. Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.",1,1,1,1,0,0,533,68,14.285514812209817,8
VID-004,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Bias and Variance,http://www.youtube.com/watch?v=EuBBz3bI-aA,6:36,1.7M+,Visual Error Decomposition,Side-by-side curve fitting comparison; animated residual error lines on test dots.,Mouse weight vs mouse size prediction; straight line vs high-degree polynomial.,Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance).,Students memorizing past exam questions verbatim vs understanding underlying concepts.,High-contrast minimalist slides; crisp voiceover; zero audio distractions.,Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.,396,1700000.0,Machine Learning Fundamentals: Bias and Variance Visual Error Decomposition Side-by-side curve fitting comparison; animated residual error lines on test dots. Mouse weight vs mouse size prediction; straight line vs high-degree polynomial. Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance). Students memorizing past exam questions verbatim vs understanding underlying concepts. Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.,1,1,1,1,0,0,534,66,14.346139397261563,8
VID-005,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Cross Validation,http://www.youtube.com/watch?v=fSytzGwwBVw,6:05,1.5M+,Step-by-Step Methodological Walkthrough,Color-coded 10-fold data partition blocks; animated sliding validation window.,Evaluating model fit across patient health metrics without data leakage.,Rotational jury duty: giving every data partition an equal turn at evaluating the model.,Financial credit risk modeling across fluctuating market cycles.,Engaging conversational pacing; clean visual cards; clear vocal inflection.,Show algorithmic progression sequentially rather than showing the final partition all at once.,365,1500000.0,Machine Learning Fundamentals: Cross Validation Step-by-Step Methodological Walkthrough Color-coded 10-fold data partition blocks; animated sliding validation window. Evaluating model fit across patient health metrics without data leakage. Rotational jury duty: giving every data partition an equal turn at evaluating the model. Financial credit risk modeling across fluctuating market cycles. Show algorithmic progression sequentially rather than showing the final partition all at once.,1,1,1,1,0,0,488,62,14.220976332738882,8
VID-006,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: The Confusion Matrix,http://www.youtube.com/watch?v=Kdsp6soqA7o,7:13,979K+,Analytical Metric Derivation,"2x2 contingency table with color-coded True Positives, False Positives, and Residuals.",Heart disease diagnosis classification on patient clinical records.,The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack).,"Cancer diagnostic screenings, airport security contraband alarms.",Clear studio audio; structured tabular slides; consistent vocal presence.,Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.,433,979000.0,"Machine Learning Fundamentals: The Confusion Matrix Analytical Metric Derivation 2x2 contingency table with color-coded True Positives, False Positives, and Residuals. Heart disease diagnosis classification on patient clinical records. The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack). Cancer diagnostic screenings, airport security contraband alarms. Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.",1,1,1,1,1,0,513,69,13.794287942962583,8
VID-007,Machine Learning (ML),StatQuest with Josh Starmer,"Decision and Classification Trees, Clearly Explained!!!",http://www.youtube.com/watch?v=_L39rN6gz7Y,18:08,1.3M+,Hierarchical Logic & Splitting Math,Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons.,"Chest pain, blood circulation, and blocked arteries determining heart disease risk.",Playing the game '20 Questions' where the algorithm selects questions that maximize information gain.,"Emergency room triage protocols, automated loan approval engines.",Pristine audio recording; hand-drawn digital diagram aesthetic; rhythmic vocal cadence.,Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.,1088,1300000.0,"Decision and Classification Trees, Clearly Explained!!! Hierarchical Logic & Splitting Math Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons. Chest pain, blood circulation, and blocked arteries determining heart disease risk. Playing the game '20 Questions' where the algorithm selects questions that maximize information gain. Emergency room triage protocols, automated loan approval engines. Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.",1,1,1,1,1,0,544,68,14.077875591662238,8
VID-008,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: Logistic Regression,http://www.youtube.com/watch?v=yIYKR4sgzI8,8:48,2.8M+,Probabilistic Curve Fitting,Sigmoid S-curve fitted over discrete binary data points (0 and 1).,Mouse weight predicting clinical obesity classification.,Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range.,"Spam classification probability, customer subscription churn forecasting.",High vocal clarity; enthusiastic presentation; focused slide animations.,Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.,528,2800000.0,"StatQuest: Logistic Regression Probabilistic Curve Fitting Sigmoid S-curve fitted over discrete binary data points (0 and 1). Mouse weight predicting clinical obesity classification. Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range. Spam classification probability, customer subscription churn forecasting. Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.",1,1,1,1,1,0,443,54,14.845130332288226,8
VID-009,Machine Learning (ML),StatQuest with Josh Starmer,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",http://www.youtube.com/watch?v=J4Wdy0Wc_xQ,9:54,1.5M+,Ensemble Learning & Bagging,Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables.,"Predicting patient health outcomes from diet, exercise, and blood pressure using a forest.",Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion.,"Credit card fraud prevention ensembles, credit risk scoring.",Friendly instructional tone; trademark audio branding; high-legibility infographics.,Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.,594,1500000.0,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating Ensemble Learning & Bagging Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables. Predicting patient health outcomes from diet, exercise, and blood pressure using a forest. Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion. Credit card fraud prevention ensembles, credit risk scoring. Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.",1,1,1,1,0,0,531,75,14.220976332738882,8
VID-010,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: K-means clustering,http://www.youtube.com/watch?v=4b5d3muPQmA,8:30,2.2M+,Iterative Clustering Algorithm,2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively.,Grouping patients by gene expression levels without prior medical labels.,Politicians moving campaign headquarters to the center of voter clusters until positions stabilize.,"Customer market segmentation, image compression palette reduction.",Energetic vocal delivery; distinct visual colors; dynamic step animations.,Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.,510,2200000.0,"StatQuest: K-means clustering Iterative Clustering Algorithm 2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively. Grouping patients by gene expression levels without prior medical labels. Politicians moving campaign headquarters to the center of voter clusters until positions stabilize. Customer market segmentation, image compression palette reduction. Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.",1,1,1,1,0,0,505,62,14.603968372873895,7
