ID,Category,Channel,Title,URL,Duration,Views,Explanation_Type,Visuals,Examples,Analogies,Real_Life,Quality,Creator_Takeaways,duration_seconds,views_numeric,combined_text,has_analogy,has_example,has_visual,has_math,has_code,has_application
VID-001,Machine Learning (ML),3Blue1Brown,But what is a neural network? | Deep learning chapter 1,http://www.youtube.com/watch?v=aircAruvnKk,18:40,24.2M+,Mathematical & Geometric Intuition,Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations.,MNIST handwritten digit recognition focusing on handwritten '3's vs other digits.,Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits).,Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms.,"Pristine studio acoustics; calm, deliberate cadence (~130 wpm); subtle musical scoring; 1080p razor-sharp vector graphics.",Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.,1120,24200000.0,"Title: But what is a neural network? | Deep learning chapter 1
Explanation: Mathematical & Geometric Intuition
Visuals: Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations.
Examples: MNIST handwritten digit recognition focusing on handwritten '3's vs other digits.
Analogies: Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits).
Applications: Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms.
Quality: Pristine studio acoustics; calm, deliberate cadence (~130 wpm); subtle musical scoring; 1080p razor-sharp vector graphics.
Takeaway: Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.",1,1,1,1,0,1
VID-002,Machine Learning (ML),3Blue1Brown,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",http://www.youtube.com/watch?v=IHZwWFHWa-w,20:33,9.5M+,Mathematical Optimization & Geometry,3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors.,"Minimizing cost over 13,000 weights and biases on MNIST digits.",A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet.,"Autonomous vehicle path optimization, facial recognition feature convergence.","Contemplative, clear voiceover; studio sound isolation; fluid 60fps vector graphics.",Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).,1233,9500000.0,"Title: Gradient descent, how neural networks learn | Deep Learning Chapter 2
Explanation: Mathematical Optimization & Geometry
Visuals: 3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors.
Examples: Minimizing cost over 13,000 weights and biases on MNIST digits.
Analogies: A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet.
Applications: Autonomous vehicle path optimization, facial recognition feature convergence.
Quality: Contemplative, clear voiceover; studio sound isolation; fluid 60fps vector graphics.
Takeaway: Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).",1,1,1,1,0,1
VID-003,Machine Learning (ML),StatQuest with Josh Starmer,A Gentle Introduction to Machine Learning,http://www.youtube.com/watch?v=Gv9_4yMHFhI,12:45,1.6M+,Pedagogical First-Principles Breakdown,Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees.,Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt).,Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff).,"Athletic performance testing, clinical drug trials.","Warm, energetic delivery; trademark acoustic jingles; celebratory catchphrases ('BAM!').",Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.,765,1600000.0,"Title: A Gentle Introduction to Machine Learning
Explanation: Pedagogical First-Principles Breakdown
Visuals: Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees.
Examples: Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt).
Analogies: Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff).
Applications: Athletic performance testing, clinical drug trials.
Quality: Warm, energetic delivery; trademark acoustic jingles; celebratory catchphrases ('BAM!').
Takeaway: Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.",1,1,1,0,1,1
VID-004,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Bias and Variance,http://www.youtube.com/watch?v=EuBBz3bI-aA,06:36,1.7M+,Visual Error Decomposition,Side-by-side curve fitting comparison; animated residual error lines on test dots.,Mouse weight vs mouse size prediction; straight line vs high-degree polynomial.,Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance).,Students memorizing past exam questions verbatim vs understanding underlying concepts.,High-contrast minimalist slides; crisp voiceover; zero audio distractions.,Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.,396,1700000.0,"Title: Machine Learning Fundamentals: Bias and Variance
Explanation: Visual Error Decomposition
Visuals: Side-by-side curve fitting comparison; animated residual error lines on test dots.
Examples: Mouse weight vs mouse size prediction; straight line vs high-degree polynomial.
Analogies: Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance).
Applications: Students memorizing past exam questions verbatim vs understanding underlying concepts.
Quality: High-contrast minimalist slides; crisp voiceover; zero audio distractions.
Takeaway: Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.",1,1,1,0,0,1
VID-005,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Cross Validation,http://www.youtube.com/watch?v=fSytzGwwBVw,06:05,1.5M+,Step-by-Step Methodological Walkthrough,Color-coded 10-fold data partition blocks; animated sliding validation window.,Evaluating model fit across patient health metrics without data leakage.,Rotational jury duty: giving every data partition an equal turn at evaluating the model.,Financial credit risk modeling across fluctuating market cycles.,Engaging conversational pacing; clean visual cards; clear vocal inflection.,Show algorithmic progression sequentially rather than showing the final partition all at once.,365,1500000.0,"Title: Machine Learning Fundamentals: Cross Validation
Explanation: Step-by-Step Methodological Walkthrough
Visuals: Color-coded 10-fold data partition blocks; animated sliding validation window.
Examples: Evaluating model fit across patient health metrics without data leakage.
Analogies: Rotational jury duty: giving every data partition an equal turn at evaluating the model.
Applications: Financial credit risk modeling across fluctuating market cycles.
Quality: Engaging conversational pacing; clean visual cards; clear vocal inflection.
Takeaway: Show algorithmic progression sequentially rather than showing the final partition all at once.",1,1,1,0,1,1
VID-006,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: The Confusion Matrix,http://www.youtube.com/watch?v=Kdsp6soqA7o,07:13,979K+,Analytical Metric Derivation,"2x2 contingency table with color-coded True Positives, False Positives, and Residuals.",Heart disease diagnosis classification on patient clinical records.,The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack).,"Cancer diagnostic screenings, airport security contraband alarms.",Clear studio audio; structured tabular slides; consistent vocal presence.,Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.,433,979000.0,"Title: Machine Learning Fundamentals: The Confusion Matrix
Explanation: Analytical Metric Derivation
Visuals: 2x2 contingency table with color-coded True Positives, False Positives, and Residuals.
Examples: Heart disease diagnosis classification on patient clinical records.
Analogies: The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack).
Applications: Cancer diagnostic screenings, airport security contraband alarms.
Quality: Clear studio audio; structured tabular slides; consistent vocal presence.
Takeaway: Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.",1,1,1,1,1,1
VID-007,Machine Learning (ML),StatQuest with Josh Starmer,"Decision and Classification Trees, Clearly Explained!!!",http://www.youtube.com/watch?v=_L39rN6gz7Y,18:08,1.3M+,Hierarchical Logic & Splitting Math,Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons.,"Chest pain, blood circulation, and blocked arteries determining heart disease risk.",Playing the game '20 Questions' where the algorithm selects questions that maximize information gain.,"Emergency room triage protocols, automated loan approval engines.",Pristine audio recording; hand-drawn digital diagram aesthetic; rhythmic vocal cadence.,Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.,1088,1300000.0,"Title: Decision and Classification Trees, Clearly Explained!!!
Explanation: Hierarchical Logic & Splitting Math
Visuals: Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons.
Examples: Chest pain, blood circulation, and blocked arteries determining heart disease risk.
Analogies: Playing the game '20 Questions' where the algorithm selects questions that maximize information gain.
Applications: Emergency room triage protocols, automated loan approval engines.
Quality: Pristine audio recording; hand-drawn digital diagram aesthetic; rhythmic vocal cadence.
Takeaway: Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.",1,1,1,1,0,1
VID-008,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: Logistic Regression,http://www.youtube.com/watch?v=yIYKR4sgzI8,08:48,2.8M+,Probabilistic Curve Fitting,Sigmoid S-curve fitted over discrete binary data points (0 and 1).,Mouse weight predicting clinical obesity classification.,Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range.,"Spam classification probability, customer subscription churn forecasting.",High vocal clarity; enthusiastic presentation; focused slide animations.,Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.,528,2800000.0,"Title: StatQuest: Logistic Regression
Explanation: Probabilistic Curve Fitting
Visuals: Sigmoid S-curve fitted over discrete binary data points (0 and 1).
Examples: Mouse weight predicting clinical obesity classification.
Analogies: Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range.
Applications: Spam classification probability, customer subscription churn forecasting.
Quality: High vocal clarity; enthusiastic presentation; focused slide animations.
Takeaway: Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.",1,1,1,0,0,1
VID-009,Machine Learning (ML),StatQuest with Josh Starmer,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",http://www.youtube.com/watch?v=J4Wdy0Wc_xQ,09:54,1.5M+,Ensemble Learning & Bagging,Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables.,"Predicting patient health outcomes from diet, exercise, and blood pressure using a forest.",Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion.,"Credit card fraud prevention ensembles, credit risk scoring.",Friendly instructional tone; trademark audio branding; high-legibility infographics.,Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.,594,1500000.0,"Title: StatQuest: Random Forests Part 1 - Building, Using and Evaluating
Explanation: Ensemble Learning & Bagging
Visuals: Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables.
Examples: Predicting patient health outcomes from diet, exercise, and blood pressure using a forest.
Analogies: Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion.
Applications: Credit card fraud prevention ensembles, credit risk scoring.
Quality: Friendly instructional tone; trademark audio branding; high-legibility infographics.
Takeaway: Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.",1,1,1,0,0,1
VID-010,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: K-means clustering,http://www.youtube.com/watch?v=4b5d3muPQmA,08:30,2.2M+,Iterative Clustering Algorithm,2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively.,Grouping patients by gene expression levels without prior medical labels.,Politicians moving campaign headquarters to the center of voter clusters until positions stabilize.,"Customer market segmentation, image compression palette reduction.",Energetic vocal delivery; distinct visual colors; dynamic step animations.,Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.,510,2200000.0,"Title: StatQuest: K-means clustering
Explanation: Iterative Clustering Algorithm
Visuals: 2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively.
Examples: Grouping patients by gene expression levels without prior medical labels.
Analogies: Politicians moving campaign headquarters to the center of voter clusters until positions stabilize.
Applications: Customer market segmentation, image compression palette reduction.
Quality: Energetic vocal delivery; distinct visual colors; dynamic step animations.
Takeaway: Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.",1,1,1,0,0,1
