ID,Category,Channel,Title,URL,Duration,Views,Explanation_Type,Visuals,Examples,Analogies,Real_Life,Quality,Creator_Takeaways,duration_seconds,views_numeric,combined_text,has_analogy,has_example,has_visual,has_math,has_code,has_application,log_views,text_length,word_count
VID-001,Machine Learning (ML),3Blue1Brown,But what is a neural network? | Deep learning chapter 1,http://www.youtube.com/watch?v=aircAruvnKk,18:40,24.2M+,Mathematical & Geometric Intuition,Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations.,MNIST handwritten digit recognition focusing on handwritten '3's vs other digits.,Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits).,Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms.,"Pristine studio acoustics; calm, deliberate cadence (~130 wpm); subtle musical scoring; 1080p razor-sharp vector graphics.",Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.,1120,24200000.0,"Title: But what is a neural network? | Deep learning chapter 1
Category: Machine Learning (ML)
Explanation type: Mathematical & Geometric Intuition
Visuals: Custom Manim animations; dynamic 28x28 pixel grid activations; colored weight synapses (green/red); layered node transformations.
Examples: MNIST handwritten digit recognition focusing on handwritten '3's vs other digits.
Analogies: Biological neurons firing vs mathematical dials/weights (0 to 1); layered abstraction hierarchy (pixels -> edges -> loops -> digits).
Real-life applications: Human visual cortex processing; speech recognition acoustic decomposition; YouTube recommendation algorithms.
Quality description: Pristine studio acoustics; calm, deliberate cadence (~130 wpm); subtle musical scoring; 1080p razor-sharp vector graphics.
Creator takeaways: Hook with an intuitive mystery; never introduce formulas before visual intuition; break black boxes into modular components.",1,1,1,1,0,1,17.001863232449228,945,119
VID-002,Machine Learning (ML),3Blue1Brown,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",http://www.youtube.com/watch?v=IHZwWFHWa-w,20:33,9.5M+,Mathematical Optimization & Geometry,3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors.,"Minimizing cost over 13,000 weights and biases on MNIST digits.",A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet.,"Autonomous vehicle path optimization, facial recognition feature convergence.","Contemplative, clear voiceover; studio sound isolation; fluid 60fps vector graphics.",Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).,1233,9500000.0,"Title: Gradient descent, how neural networks learn | Deep Learning Chapter 2
Category: Machine Learning (ML)
Explanation type: Mathematical Optimization & Geometry
Visuals: 3D loss landscape topography; rolling ball physics simulation; negative gradient step vectors.
Examples: Minimizing cost over 13,000 weights and biases on MNIST digits.
Analogies: A hiker descending a mountainous terrain in dense fog by feeling the local slope beneath their feet.
Real-life applications: Autonomous vehicle path optimization, facial recognition feature convergence.
Quality description: Contemplative, clear voiceover; studio sound isolation; fluid 60fps vector graphics.
Creator takeaways: Ground high-dimensional multivariable calculus using tangible physical/spatial analogies (foggy mountain descent).",1,1,1,1,0,1,16.066802461833923,795,99
VID-003,Machine Learning (ML),StatQuest with Josh Starmer,A Gentle Introduction to Machine Learning,http://www.youtube.com/watch?v=Gv9_4yMHFhI,12:45,1.6M+,Pedagogical First-Principles Breakdown,Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees.,Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt).,Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff).,"Athletic performance testing, clinical drug trials.","Warm, energetic delivery; trademark acoustic jingles; celebratory catchphrases ('BAM!').",Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.,765,1600000.0,"Title: A Gentle Introduction to Machine Learning
Category: Machine Learning (ML)
Explanation type: Pedagogical First-Principles Breakdown
Visuals: Clean 2D scatter plots; color-coded training vs testing points (red vs blue dots); cartoon decision trees.
Examples: Predicting love for StatQuest via decision trees; sprint speed vs yam consumption (Usain Bolt).
Analogies: Contrasting a straight linear trendline with an overfitted 'green squiggle' (Bias-Variance tradeoff).
Real-life applications: Athletic performance testing, clinical drug trials.
Quality description: Warm, energetic delivery; trademark acoustic jingles; celebratory catchphrases ('BAM!').
Creator takeaways: Use silly/approachable toy examples to eliminate intimidation before defining technical jargon.",1,1,1,0,1,1,14.285514812209815,773,93
VID-004,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Bias and Variance,http://www.youtube.com/watch?v=EuBBz3bI-aA,06:36,1.7M+,Visual Error Decomposition,Side-by-side curve fitting comparison; animated residual error lines on test dots.,Mouse weight vs mouse size prediction; straight line vs high-degree polynomial.,Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance).,Students memorizing past exam questions verbatim vs understanding underlying concepts.,High-contrast minimalist slides; crisp voiceover; zero audio distractions.,Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.,396,1700000.0,"Title: Machine Learning Fundamentals: Bias and Variance
Category: Machine Learning (ML)
Explanation type: Visual Error Decomposition
Visuals: Side-by-side curve fitting comparison; animated residual error lines on test dots.
Examples: Mouse weight vs mouse size prediction; straight line vs high-degree polynomial.
Analogies: Underfitting is stubbornness (high bias); Overfitting is memorization without generalization (high variance).
Real-life applications: Students memorizing past exam questions verbatim vs understanding underlying concepts.
Quality description: High-contrast minimalist slides; crisp voiceover; zero audio distractions.
Creator takeaways: Keep foundational concept videos under 7 minutes; highlight visual contrast between failure modes.",1,1,1,0,1,1,14.346139397261565,760,90
VID-005,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: Cross Validation,http://www.youtube.com/watch?v=fSytzGwwBVw,06:05,1.5M+,Step-by-Step Methodological Walkthrough,Color-coded 10-fold data partition blocks; animated sliding validation window.,Evaluating model fit across patient health metrics without data leakage.,Rotational jury duty: giving every data partition an equal turn at evaluating the model.,Financial credit risk modeling across fluctuating market cycles.,Engaging conversational pacing; clean visual cards; clear vocal inflection.,Show algorithmic progression sequentially rather than showing the final partition all at once.,365,1500000.0,"Title: Machine Learning Fundamentals: Cross Validation
Category: Machine Learning (ML)
Explanation type: Step-by-Step Methodological Walkthrough
Visuals: Color-coded 10-fold data partition blocks; animated sliding validation window.
Examples: Evaluating model fit across patient health metrics without data leakage.
Analogies: Rotational jury duty: giving every data partition an equal turn at evaluating the model.
Real-life applications: Financial credit risk modeling across fluctuating market cycles.
Quality description: Engaging conversational pacing; clean visual cards; clear vocal inflection.
Creator takeaways: Show algorithmic progression sequentially rather than showing the final partition all at once.",1,1,1,0,1,1,14.220976332738882,715,87
VID-006,Machine Learning (ML),StatQuest with Josh Starmer,Machine Learning Fundamentals: The Confusion Matrix,http://www.youtube.com/watch?v=Kdsp6soqA7o,07:13,979K+,Analytical Metric Derivation,"2x2 contingency table with color-coded True Positives, False Positives, and Residuals.",Heart disease diagnosis classification on patient clinical records.,The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack).,"Cancer diagnostic screenings, airport security contraband alarms.",Clear studio audio; structured tabular slides; consistent vocal presence.,Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.,433,979000.0,"Title: Machine Learning Fundamentals: The Confusion Matrix
Category: Machine Learning (ML)
Explanation type: Analytical Metric Derivation
Visuals: 2x2 contingency table with color-coded True Positives, False Positives, and Residuals.
Examples: Heart disease diagnosis classification on patient clinical records.
Analogies: The Boy Who Cried Wolf: False Positive (crying wolf when none exists) vs False Negative (sleeping during attack).
Real-life applications: Cancer diagnostic screenings, airport security contraband alarms.
Quality description: Clear studio audio; structured tabular slides; consistent vocal presence.
Creator takeaways: Walk through 2x2 confusion grids one quadrant at a time with realistic counts to build intuition.",1,1,1,1,1,1,13.794287942962585,738,94
VID-007,Machine Learning (ML),StatQuest with Josh Starmer,"Decision and Classification Trees, Clearly Explained!!!",http://www.youtube.com/watch?v=_L39rN6gz7Y,18:08,1.3M+,Hierarchical Logic & Splitting Math,Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons.,"Chest pain, blood circulation, and blocked arteries determining heart disease risk.",Playing the game '20 Questions' where the algorithm selects questions that maximize information gain.,"Emergency room triage protocols, automated loan approval engines.",Pristine audio recording; hand-drawn digital diagram aesthetic; rhythmic vocal cadence.,Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.,1088,1300000.0,"Title: Decision and Classification Trees, Clearly Explained!!!
Category: Machine Learning (ML)
Explanation type: Hierarchical Logic & Splitting Math
Visuals: Branching decision trees; on-screen Gini impurity formula substitutions; threshold comparisons.
Examples: Chest pain, blood circulation, and blocked arteries determining heart disease risk.
Analogies: Playing the game '20 Questions' where the algorithm selects questions that maximize information gain.
Real-life applications: Emergency room triage protocols, automated loan approval engines.
Quality description: Pristine audio recording; hand-drawn digital diagram aesthetic; rhythmic vocal cadence.
Creator takeaways: Show how the algorithm calculates the mathematically optimal split so automation doesn't feel arbitrary.",1,1,1,1,0,1,14.077875591662238,783,94
VID-008,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: Logistic Regression,http://www.youtube.com/watch?v=yIYKR4sgzI8,08:48,2.8M+,Probabilistic Curve Fitting,Sigmoid S-curve fitted over discrete binary data points (0 and 1).,Mouse weight predicting clinical obesity classification.,Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range.,"Spam classification probability, customer subscription churn forecasting.",High vocal clarity; enthusiastic presentation; focused slide animations.,Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.,528,2800000.0,"Title: StatQuest: Logistic Regression
Category: Machine Learning (ML)
Explanation type: Probabilistic Curve Fitting
Visuals: Sigmoid S-curve fitted over discrete binary data points (0 and 1).
Examples: Mouse weight predicting clinical obesity classification.
Analogies: Squishing an infinite linear axis into a strictly bounded 0-to-1 probability range.
Real-life applications: Spam classification probability, customer subscription churn forecasting.
Quality description: High vocal clarity; enthusiastic presentation; focused slide animations.
Creator takeaways: Demonstrate linear regression's inability to model probabilities before introducing the sigmoid curve.",1,1,1,0,1,1,14.845130332288226,667,78
VID-009,Machine Learning (ML),StatQuest with Josh Starmer,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",http://www.youtube.com/watch?v=J4Wdy0Wc_xQ,09:54,1.5M+,Ensemble Learning & Bagging,Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables.,"Predicting patient health outcomes from diet, exercise, and blood pressure using a forest.",Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion.,"Credit card fraud prevention ensembles, credit risk scoring.",Friendly instructional tone; trademark audio branding; high-legibility infographics.,Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.,594,1500000.0,"Title: StatQuest: Random Forests Part 1 - Building, Using and Evaluating
Category: Machine Learning (ML)
Explanation type: Ensemble Learning & Bagging
Visuals: Multiple mini decision trees aggregating into a voting booth; bootstrap sample tables.
Examples: Predicting patient health outcomes from diet, exercise, and blood pressure using a forest.
Analogies: Wisdom of the crowd: a council of diverse experts whose consensus outvotes any single flawed opinion.
Real-life applications: Credit card fraud prevention ensembles, credit risk scoring.
Quality description: Friendly instructional tone; trademark audio branding; high-legibility infographics.
Creator takeaways: Explain bagging (bootstrap aggregating) with simple cards before introducing the forest concept.",1,1,1,0,0,1,14.220976332738882,767,99
VID-010,Machine Learning (ML),StatQuest with Josh Starmer,StatQuest: K-means clustering,http://www.youtube.com/watch?v=4b5d3muPQmA,08:30,2.2M+,Iterative Clustering Algorithm,2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively.,Grouping patients by gene expression levels without prior medical labels.,Politicians moving campaign headquarters to the center of voter clusters until positions stabilize.,"Customer market segmentation, image compression palette reduction.",Energetic vocal delivery; distinct visual colors; dynamic step animations.,Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.,510,2200000.0,"Title: StatQuest: K-means clustering
Category: Machine Learning (ML)
Explanation type: Iterative Clustering Algorithm
Visuals: 2D plane with roaming cluster centroids; Euclidean dashed distance lines recalculating iteratively.
Examples: Grouping patients by gene expression levels without prior medical labels.
Analogies: Politicians moving campaign headquarters to the center of voter clusters until positions stabilize.
Real-life applications: Customer market segmentation, image compression palette reduction.
Quality description: Energetic vocal delivery; distinct visual colors; dynamic step animations.
Creator takeaways: Animate the iterative two-step loop (assign points -> update centroid) until visual convergence occurs.",1,1,1,0,1,1,14.603968372873895,731,87
VID-011,Machine Learning (ML),Fireship,Machine Learning Explained in 100 Seconds,http://www.youtube.com/watch?v=PeMlggyqz0Y,02:35,1.1M+,High-Velocity Developer Micro-Overview,Kinetic typography; rapid code snippets (Python/Scikit-learn); terminal UI; meme iconography.,"Cat vs dog image classification, bread price inflation forecasting.",Hardcoded if-else logic vs organic experiential learning; model files as compiled binary artifacts.,"Autonomous driving obstacle perception, medical oncology scans.",Compressed broadcast voice; ~180 wpm delivery; synthwave soundtrack; visual cut every 1-2s.,Cut all introductory filler; pair every single technical noun with an on-screen visual element.,155,1100000.0,"Title: Machine Learning Explained in 100 Seconds
Category: Machine Learning (ML)
Explanation type: High-Velocity Developer Micro-Overview
Visuals: Kinetic typography; rapid code snippets (Python/Scikit-learn); terminal UI; meme iconography.
Examples: Cat vs dog image classification, bread price inflation forecasting.
Analogies: Hardcoded if-else logic vs organic experiential learning; model files as compiled binary artifacts.
Real-life applications: Autonomous driving obstacle perception, medical oncology scans.
Quality description: Compressed broadcast voice; ~180 wpm delivery; synthwave soundtrack; visual cut every 1-2s.
Creator takeaways: Cut all introductory filler; pair every single technical noun with an on-screen visual element.",1,1,1,0,1,1,13.910821646859095,745,90
VID-012,Machine Learning (ML),IBM Technology,"AI, Machine Learning, Deep Learning and Generative AI Explained",http://www.youtube.com/watch?v=qYNweeDHiyU,10:01,3.5M+,Conversational Lightboard Lecture & Taxonomy,Live glowing neon marker drawings on an illuminated glass lightboard; Venn diagrams; timelines.,"Geometric pattern sequence prediction puzzles, history of Lisp/Prolog expert systems.",Russian Nesting Dolls hierarchy; GenAI as musical composition recombining pre-existing notes.,"Enterprise IT anomaly detection, voice cloning parodies.",Crisp lapel mic; 4K camera through glass; zero reflections; professional executive delivery.,Draw live while talking to keep visual attention glued; address common community misunderstandings.,601,3500000.0,"Title: AI, Machine Learning, Deep Learning and Generative AI Explained
Category: Machine Learning (ML)
Explanation type: Conversational Lightboard Lecture & Taxonomy
Visuals: Live glowing neon marker drawings on an illuminated glass lightboard; Venn diagrams; timelines.
Examples: Geometric pattern sequence prediction puzzles, history of Lisp/Prolog expert systems.
Analogies: Russian Nesting Dolls hierarchy; GenAI as musical composition recombining pre-existing notes.
Real-life applications: Enterprise IT anomaly detection, voice cloning parodies.
Quality description: Crisp lapel mic; 4K camera through glass; zero reflections; professional executive delivery.
Creator takeaways: Draw live while talking to keep visual attention glued; address common community misunderstandings.",1,1,1,0,0,1,15.068273812173887,785,96
VID-013,Machine Learning (ML),IBM Technology,Supervised vs. Unsupervised Learning,http://www.youtube.com/watch?v=W01tIRP_Rqs,07:08,383K+,Taxonomic Comparison & Structural Contrast,Split-screen lightboard diagram comparing labeled input-output pairs against unlabeled data clusters.,Housing price prediction based on square footage (Supervised) vs customer discovery (Unsupervised).,Classroom student with a teacher checking answers vs explorer mapping an uncharted island.,"Credit card fraud detection, e-commerce customer cohort grouping.",Evenly modulated broadcast vocals; vibrant neon diagrams against pitch-black backdrop.,Use split-screen visual parallelism to contrast complementary paradigms side by side.,428,383000.0,"Title: Supervised vs. Unsupervised Learning
Category: Machine Learning (ML)
Explanation type: Taxonomic Comparison & Structural Contrast
Visuals: Split-screen lightboard diagram comparing labeled input-output pairs against unlabeled data clusters.
Examples: Housing price prediction based on square footage (Supervised) vs customer discovery (Unsupervised).
Analogies: Classroom student with a teacher checking answers vs explorer mapping an uncharted island.
Real-life applications: Credit card fraud detection, e-commerce customer cohort grouping.
Quality description: Evenly modulated broadcast vocals; vibrant neon diagrams against pitch-black backdrop.
Creator takeaways: Use split-screen visual parallelism to contrast complementary paradigms side by side.",1,1,1,0,1,1,12.855792879125431,762,90
VID-014,Machine Learning (ML),IBM Technology,Neural Networks Explained in 5 minutes,http://www.youtube.com/watch?v=jmmW0F0biz0,04:32,746K+,Rapid Architecture Breakdown,"Input, hidden, and output layer node connection drawings with weighted line thickness variations.",Recognizing shapes and handwritten letters from raw pixel inputs.,Passing messages through an assembly line of specialized factory workers.,"Smartphone face unlock, automated driving vision systems.",High-fidelity studio recording; concise script delivery; zero hesitation.,Limit architectural overviews to five core minutes by focusing strictly on input-hidden-output data flow.,272,746000.0,"Title: Neural Networks Explained in 5 minutes
Category: Machine Learning (ML)
Explanation type: Rapid Architecture Breakdown
Visuals: Input, hidden, and output layer node connection drawings with weighted line thickness variations.
Examples: Recognizing shapes and handwritten letters from raw pixel inputs.
Analogies: Passing messages through an assembly line of specialized factory workers.
Real-life applications: Smartphone face unlock, automated driving vision systems.
Quality description: High-fidelity studio recording; concise script delivery; zero hesitation.
Creator takeaways: Limit architectural overviews to five core minutes by focusing strictly on input-hidden-output data flow.",1,1,1,0,1,1,13.522482219667573,694,86
